2025-04-25 21:59:04 | 404 |            0s | GET | /
2025-04-25 21:59:05 | 404 |            0s | GET | /
2025-04-25 21:59:11 | 404 |            0s | GET | /api/v1/users
2025-04-25 21:59:13 | 404 |            0s | GET | /api/v1/users
2025-04-25 21:59:14 | 404 |            0s | GET | /api/v1/users
2025-04-25 21:59:21 | 404 |            0s | GET | /api/v1/users
2025-04-25 21:59:22 | 404 |            0s | GET | /api/v1/users
2025-04-25 21:59:26 | 404 |            0s | GET | /api/v1/users
2025-04-25 21:59:28 | 404 |            0s | GET | /api/users
2025-04-25 21:59:32 | 404 |            0s | GET | /api/v1/users
2025-04-25 22:17:40 | 404 |            0s | GET | /api/users
2025-04-25 22:17:41 | 200 |      1.7673ms | GET | /api/v1/users
2025-04-25 22:17:42 | 200 |      1.4922ms | GET | /api/v1/users
2025-04-25 22:17:43 | 200 |      1.9164ms | GET | /api/v1/users
2025-04-25 22:17:48 | 200 |      2.8458ms | GET | /api/v1/users/6001
2025-04-25 22:17:50 | 200 |       2.194ms | GET | /api/v1/users/6001
2025-04-25 22:17:52 | 200 |      1.6193ms | GET | /api/v1/users
2025-04-25 22:17:52 | 200 |      1.7193ms | GET | /api/v1/users
2025-04-25 22:17:52 | 200 |      2.0956ms | GET | /api/v1/users
2025-04-25 22:17:53 | 200 |      1.4597ms | GET | /api/v1/users
2025-04-25 22:17:53 | 200 |      1.4442ms | GET | /api/v1/users
2025-04-25 22:17:53 | 200 |      1.5126ms | GET | /api/v1/users
2025-04-25 22:17:53 | 200 |       503.4µs | GET | /api/v1/users
2025-04-25 22:17:54 | 200 |      1.4514ms | GET | /api/v1/users
2025-04-25 22:20:57 | 200 |       3.977ms | GET | /api/v1/users
2025-04-25 22:20:59 | 200 |      3.3496ms | GET | /api/v1/users
2025-04-25 22:21:00 | 200 |      3.2494ms | GET | /api/v1/users
2025-04-25 22:21:01 | 200 |      3.9885ms | GET | /api/v1/users
2025-04-25 22:21:02 | 200 |      4.6702ms | GET | /api/v1/users
2025-04-25 22:22:46 | 200 |      5.1786ms | GET | /api/v1/users
2025-04-25 22:22:46 | 200 |     25.4126ms | GET | /api/v1/users
2025-04-25 22:22:47 | 200 |      4.0215ms | GET | /api/v1/users
2025-04-25 22:22:48 | 200 |      7.3998ms | GET | /api/v1/users
2025-04-25 22:22:48 | 200 |      41.725ms | GET | /api/v1/users
2025-04-25 22:24:40 | 200 |      4.1917ms | GET | /api/v1/users
2025-04-25 22:24:41 | 200 |       3.467ms | GET | /api/v1/users
2025-04-25 22:24:43 | 200 |      5.9237ms | GET | /api/v1/users
2025-04-25 22:24:45 | 404 |      2.8678ms | GET | /api/v1/users/6001
2025-04-25 22:24:48 | 200 |      3.6896ms | GET | /api/v1/users
2025-04-25 22:24:49 | 200 |      3.9218ms | GET | /api/v1/users
2025-04-25 22:24:52 | 200 |      7.0265ms | GET | /api/v1/users
2025-04-25 22:26:49 | 200 |      4.3832ms | GET | /api/v1/users
2025-04-25 22:26:49 | 200 |      3.3727ms | GET | /api/v1/users
2025-04-25 22:26:49 | 200 |      3.7505ms | GET | /api/v1/users
2025-04-25 22:26:50 | 200 |      3.4077ms | GET | /api/v1/users
2025-04-25 22:26:50 | 200 |      4.2845ms | GET | /api/v1/users
2025-04-25 22:26:59 | 200 |      3.3296ms | GET | /api/v1/users
2025-04-25 22:27:00 | 200 |       3.382ms | GET | /api/v1/users
2025-04-25 22:27:00 | 200 |       5.739ms | GET | /api/v1/users
2025-04-25 22:27:01 | 200 |      3.2147ms | GET | /api/v1/users
2025-04-25 22:27:01 | 200 |      4.1748ms | GET | /api/v1/users
2025-04-25 22:27:09 | 404 |      2.2715ms | GET | /api/v1/users/1042
2025-04-25 22:27:11 | 404 |      2.2403ms | GET | /api/v1/users/1042
2025-04-25 22:27:13 | 404 |      2.6171ms | GET | /api/v1/users/6001
2025-04-25 22:28:07 | 404 |      3.0778ms | GET | /api/v1/users/6001
2025-04-25 22:28:13 | 404 |       3.617ms | GET | /api/v1/users/1042
2025-04-25 22:33:53 | 404 |      2.2036ms | GET | /api/v1/users/1042
2025-04-25 22:33:54 | 404 |      2.0224ms | GET | /api/v1/users/1042
2025-04-25 22:36:32 | 404 |      2.5239ms | GET | /api/v1/users/1042
2025-04-25 22:37:52 | 500 |      4.7154ms | GET | /api/v1/users
2025-04-25 22:37:53 | 500 |      6.2722ms | GET | /api/v1/users
2025-04-25 22:39:56 | 200 |      4.8434ms | GET | /api/v1/users
2025-04-25 22:39:56 | 200 |      4.2865ms | GET | /api/v1/users
2025-04-25 22:40:01 | 404 |      2.5077ms | GET | /api/v1/users/6001
2025-04-25 22:40:02 | 404 |      2.0926ms | GET | /api/v1/users/1042
2025-04-25 22:40:03 | 404 |      2.1885ms | GET | /api/v1/users/1042
2025-04-25 22:40:05 | 200 |      3.9279ms | GET | /api/v1/users
2025-04-25 22:42:02 | 200 |      2.9199ms | GET | /api/v1/users/2042
2025-04-25 22:42:04 | 200 |      3.1216ms | GET | /api/v1/users/2042
2025-04-25 22:42:05 | 200 |      2.2566ms | GET | /api/v1/users/2042
2025-04-25 22:42:05 | 200 |      1.9675ms | GET | /api/v1/users/2042
2025-04-25 22:42:06 | 200 |      2.1053ms | GET | /api/v1/users/2042
2025-04-25 22:42:07 | 200 |      2.3226ms | GET | /api/v1/users/2042
2025-04-25 22:49:07 | 200 |      2.1718ms | GET | /api/v1/users/2042
2025-04-25 22:49:16 | 200 |      5.0719ms | GET | /api/v1/users
2025-04-25 23:01:33 | 200 |      5.3434ms | GET | /api/v1/users
2025-04-25 23:01:34 | 200 |      5.5029ms | GET | /api/v1/users
2025-04-25 23:01:46 | 200 |      2.2636ms | GET | /api/v1/users/2044
2025-04-25 23:01:48 | 200 |      6.4664ms | GET | /api/v1/users/2044
2025-04-25 23:01:49 | 200 |      3.5601ms | GET | /api/v1/users/2044
2025-04-25 23:01:49 | 200 |      2.3981ms | GET | /api/v1/users/2044
2025-04-25 23:01:49 | 200 |      2.2205ms | GET | /api/v1/users/2044
